id	HR	HR.95L	HR.95H	pvalue
LAMC2	1.28611270184333	1.12751631628892	1.46701724662129	0.000178728824538765
SLC7A5	1.23023417415052	1.04501881320048	1.44827643687354	0.0128137916519778
MT2A	1.25530487754378	1.11054435498986	1.4189350731512	0.000275668865729914
SERPINE1	1.3347534905216	1.16651177980707	1.52726008540972	2.66282293799346e-05
CAV1	1.25308966391089	1.08967247031856	1.44101438603955	0.00155348786421956
F3	1.24230553003435	1.10323695388218	1.39890440083895	0.000341030644202768
PYGL	1.32962420005384	1.11461219495449	1.58611265996511	0.00154742347613339
FDCSP	0.911190356700553	0.846145514250604	0.981235322011269	0.0138443158107441
LTF	0.973297533696438	0.914932476272374	1.0353857947628	0.390990941582291
INHBA	1.28117764900097	1.13363155959659	1.4479273749963	7.21292148224361e-05
CXCL9	0.945357224084394	0.866541774283476	1.03134125514899	0.205815260751057
NQO1	1.1738893351705	1.03673603786719	1.3291871034617	0.0114360815052775
LYZ	0.860575723870042	0.777686384845238	0.952299784265643	0.00366299621408914
CXCL8	1.12179327896618	1.00870385300396	1.24756156823043	0.0340222209160531
FST	1.3093776830598	1.14800181224249	1.49343833660509	5.90202307054452e-05
FOSL1	1.33905621687973	1.1533823523217	1.55462024224221	0.000126233635163728
IGF2BP2	1.42698910681212	1.18320012789336	1.72100886651019	0.000199313792898574
FCGBP	0.874212482267521	0.785156855520893	0.97336915391934	0.0141922251287115
FSTL3	1.22787845991047	1.0780166059125	1.39857355076261	0.00199396635766219
NT5E	1.30029009499031	1.14290099205007	1.47935327984722	6.6329659758195e-05
SLC7A11	1.03180801658911	0.935540738983818	1.13798121100953	0.530918834635084
ARL4D	1.27547602830882	1.06365084082256	1.52948602713682	0.00864178410423641
UCP2	0.849839914646427	0.721423594474003	1.00111485964474	0.0515787240525442
F2RL1	1.40446771738651	1.15143783643535	1.71310122593113	0.000804437237704029
IL1A	1.16275168439057	1.05099745397858	1.28638891981621	0.00344769733387514
CD4	0.852611715137346	0.730224591272658	0.995511169409541	0.0437090510044321
HMGA2	1.28990885876455	1.15346917754573	1.44248749451591	8.08237146395118e-06
HCLS1	0.773092458033031	0.654603822824542	0.913028503391052	0.00243033139147102
ZBTB7C	0.85843833329572	0.776662356750437	0.948824628445748	0.00280409255608595
PTPRC	0.822124354783439	0.721669294808937	0.93656257733264	0.00322318798106897
CXCR4	0.800550597459326	0.68163098440462	0.940217322503716	0.00670235313758918
LGALS9	0.863325193495966	0.732535530661045	1.01746653715521	0.0795375478827002
VCAM1	0.8403778155876	0.735750220272863	0.959884011546569	0.0103623203331363
SPOCK2	0.728382311215609	0.628783233549045	0.843757853238641	2.39460732361541e-05
RGS5	0.683696351066116	0.580273053191322	0.80555300283262	5.52369977733972e-06
AMIGO2	1.23207527873026	1.06642931241892	1.42345064485805	0.00461088148358819
ATP2A3	0.731868062755013	0.613635227078682	0.872881538810509	0.000516076687960393
